id	filename	md5	size	state
38d3dd3f-a75c-4c2c-b6b5-5211766c2639	38d3dd3f-a75c-4c2c-b6b5-5211766c2639/8d521324-36eb-4e06-ba11-40967f93993c.rna_seq.augmented_star_gene_counts.tsv	bfffc21fa6665b0779c53da7c1aa7043	4243703	validated
e31db1ec-c949-488a-a44c-3b75d867a77d	e31db1ec-c949-488a-a44c-3b75d867a77d/8d2fe014-d503-4020-a671-6e8652a47a89.rna_seq.augmented_star_gene_counts.tsv	946940c0e60c544408f148891d872913	4244289	validated
0fe60909-1b03-445f-a370-736dd562027b	0fe60909-1b03-445f-a370-736dd562027b/d336faaf-9dfd-4357-85ac-f449987073af.rna_seq.augmented_star_gene_counts.tsv	6350953f787a95b76d621a577cb58c0b	4250765	validated
bc9a5ab1-fb9c-4fc9-949a-34574c15d475	bc9a5ab1-fb9c-4fc9-949a-34574c15d475/4d72196f-5827-4ff1-b5da-f47946945de0.rna_seq.augmented_star_gene_counts.tsv	718989f5e6835f7102a5b75c94351b3e	4244245	validated
d533e7df-d05e-4501-848b-ebde39845cb9	d533e7df-d05e-4501-848b-ebde39845cb9/e11c6b6a-61cc-48ef-ac4d-221f27d45091.rna_seq.augmented_star_gene_counts.tsv	af45e9c944642decae2a2fe3b462fe31	4237980	validated
c6d8a889-902c-4cb8-9411-b3c222c80a10	c6d8a889-902c-4cb8-9411-b3c222c80a10/8190fe88-f3d5-459e-924b-79fb2994c999.rna_seq.augmented_star_gene_counts.tsv	e7041826cb39b6878aab7f7dd059e201	4252094	validated
3a44ac02-62bc-4773-be2e-904416ca3488	3a44ac02-62bc-4773-be2e-904416ca3488/d0fe450f-3bae-4142-a66f-1a67f65fd285.rna_seq.augmented_star_gene_counts.tsv	bc2788465b4718273033c76b98ef9345	4245215	validated
3b913a37-3c9f-40f7-b845-5ce59f1cab92	3b913a37-3c9f-40f7-b845-5ce59f1cab92/8e329b0e-f4bb-4bae-bd28-5e9ddee6eaa7.rna_seq.augmented_star_gene_counts.tsv	b97ab1e2584b47e488d37c39096ecd20	4253177	validated
7205737e-fa89-4a7d-83ef-8042dd34ba8d	7205737e-fa89-4a7d-83ef-8042dd34ba8d/14a8495a-560f-4ab1-800c-904de6d37c2c.rna_seq.augmented_star_gene_counts.tsv	0fe16b7b7cce793de7073893116f8a5c	4245004	validated
8723c7c0-1c79-45f5-ab15-d4a54a58440c	8723c7c0-1c79-45f5-ab15-d4a54a58440c/99618995-9556-4c65-a643-43c9354395a7.rna_seq.augmented_star_gene_counts.tsv	58e8ceb53ab26e7bae41c9c121ac160e	4239510	validated
ae06a69d-d2b5-4912-9d90-39dd917b03d1	ae06a69d-d2b5-4912-9d90-39dd917b03d1/056c7bec-b1a0-4098-9c94-d275dc8ef43e.rna_seq.augmented_star_gene_counts.tsv	c1ecea0d99f3e634489820b33a963a09	4256114	validated
8ae206f0-70e9-4503-bece-d4dedda72001	8ae206f0-70e9-4503-bece-d4dedda72001/bdaf1e4a-461f-45d7-8ed3-547e2a59d3a7.rna_seq.augmented_star_gene_counts.tsv	e402a6095523fab65f08fdfcc52ebf94	4248067	validated
82a87b6b-5675-421b-b012-f8d2a0e3ee42	82a87b6b-5675-421b-b012-f8d2a0e3ee42/6f65bc4e-1005-4a19-adc0-df28934a5533.rna_seq.augmented_star_gene_counts.tsv	eb6c377baae483b0747dd4c6a9c65104	4240242	validated
f89451d9-6170-442f-8f51-8c7cb5277d7d	f89451d9-6170-442f-8f51-8c7cb5277d7d/7bdb050e-b069-42ff-83d7-18cdf1765a76.rna_seq.augmented_star_gene_counts.tsv	d868165984b3f3f1e4e2db7ee957f69a	4248764	validated
63085c99-6251-4875-be47-401c6aba4858	63085c99-6251-4875-be47-401c6aba4858/81ed5361-8358-421c-b388-9ec3e6140fee.rna_seq.augmented_star_gene_counts.tsv	b200b59b533162ceef1e78509c9d99d2	4245345	validated
c5cbbd7b-a31b-4db7-a71b-ffb1140d7599	c5cbbd7b-a31b-4db7-a71b-ffb1140d7599/9fe39c63-70f3-4847-9b72-094d237d2ed3.rna_seq.augmented_star_gene_counts.tsv	34b34f9a0682937843b2773d95e3798a	4252378	validated
dc944bdf-f066-4603-837d-fba14607a154	dc944bdf-f066-4603-837d-fba14607a154/181db800-4d55-4096-8910-a6871da6ed38.rna_seq.augmented_star_gene_counts.tsv	9d6408566efc1d13725b734e07e48186	4239090	validated
f9e66753-bfd5-491f-9daf-d6f2aff71021	f9e66753-bfd5-491f-9daf-d6f2aff71021/4b228438-6c20-4c56-8633-e1873d1aee8c.rna_seq.augmented_star_gene_counts.tsv	56d1b11af137f01ec0ba31631f15e032	4245223	validated
68cc3bd0-7207-4526-8cda-1c5af53c5426	68cc3bd0-7207-4526-8cda-1c5af53c5426/8c50f402-e95c-446f-8618-160da3606aa3.rna_seq.augmented_star_gene_counts.tsv	73af938c8899a8341ebcf82af1eff80d	4255625	validated
2b17dbd1-12e0-4494-a62e-dd2b28160a3c	2b17dbd1-12e0-4494-a62e-dd2b28160a3c/56050b40-0992-41bb-bf05-f4cab2541940.rna_seq.augmented_star_gene_counts.tsv	3c70958fe3fbd56787c7bd7906d775a2	4251311	validated
ffaca8b3-a2d7-42dc-9d42-920a38fe2147	ffaca8b3-a2d7-42dc-9d42-920a38fe2147/f13b7ef9-16d4-40b0-91c0-72b9b8ef1876.rna_seq.augmented_star_gene_counts.tsv	ae043daa87f2d6fad7a580ba2df31461	4245731	validated
a323d790-07ec-4d6e-839e-eed8c9263216	a323d790-07ec-4d6e-839e-eed8c9263216/4d309823-4133-4120-b005-a3a3feda8cc6.rna_seq.augmented_star_gene_counts.tsv	c3ecb84d29d5758ca5ed41af91186878	4251238	validated
7d65bae5-77a0-4061-b6c3-ddad0c25b17d	7d65bae5-77a0-4061-b6c3-ddad0c25b17d/cfda2cad-eeb3-4ede-b5c5-a484998611e5.rna_seq.augmented_star_gene_counts.tsv	f0821767aed4e4621c9c2c37184aa67b	4249254	validated
1ad5ae98-b0b6-4601-b835-d2c2babcd6da	1ad5ae98-b0b6-4601-b835-d2c2babcd6da/0915bd7f-dc1d-4a99-89b7-f897986a67ea.rna_seq.augmented_star_gene_counts.tsv	f469bcb8abe8764a19c81241bce646a1	4246159	validated
3eb4fd25-65ee-42a7-aaf1-46c3371b8d59	3eb4fd25-65ee-42a7-aaf1-46c3371b8d59/59fc94d0-80d5-491b-90c2-cd1014b10bf7.rna_seq.augmented_star_gene_counts.tsv	2dbae79ca25896aab7a4385804da2df0	4252149	validated
dd0e1e41-fa5e-41b2-918d-984743b7f12d	dd0e1e41-fa5e-41b2-918d-984743b7f12d/87fbdc36-addb-4d63-909c-5a6d804f5eda.rna_seq.augmented_star_gene_counts.tsv	34967dabff648e23ed92662d2c42d1a7	4246512	validated
03af23fe-d4d3-4c79-9e12-22283c64ce0f	03af23fe-d4d3-4c79-9e12-22283c64ce0f/ce9b38a7-fba0-4275-a6be-07ddbe76ce13.rna_seq.augmented_star_gene_counts.tsv	6878b7ee038eb3208c0f434ebb4adcb5	4243185	validated
74a531ff-e3be-4ef7-8eff-68d3047fe277	74a531ff-e3be-4ef7-8eff-68d3047fe277/a2808b6e-0e20-482f-a47e-908a22d1b090.rna_seq.augmented_star_gene_counts.tsv	2bbf8c268f24933d00846877787e6833	4241973	validated
474a4fe1-6930-4306-a9da-1b96621f1e22	474a4fe1-6930-4306-a9da-1b96621f1e22/e8885025-bb9d-4905-a0ac-d42cbc3a904a.rna_seq.augmented_star_gene_counts.tsv	7fc8896170aaca2228a48b7c40b2d239	4254597	validated
83242421-ffb1-4318-b1b6-e251dfc6cacb	83242421-ffb1-4318-b1b6-e251dfc6cacb/1cf6659a-3b7f-4153-a1c1-20e6a8f677e4.rna_seq.augmented_star_gene_counts.tsv	0ae96e5fce5256514c88433d7b4ea439	4236622	validated
1627ea47-3fa0-405b-970d-bfb1cae72ece	1627ea47-3fa0-405b-970d-bfb1cae72ece/29882704-6f18-4f45-8041-d77ccfc955cc.rna_seq.augmented_star_gene_counts.tsv	580bb963540360dd71518f9abbc7dc2b	4259698	validated
d6c3d97d-c032-4c98-8ad8-7df13b6c9f79	d6c3d97d-c032-4c98-8ad8-7df13b6c9f79/91a3855d-2412-4f55-a689-b7584c6edc56.rna_seq.augmented_star_gene_counts.tsv	1a7ac674ec45fb9fdd5c43b46198c4c5	4237439	validated
85ae2772-c110-4bbb-a33f-e7215fed89f2	85ae2772-c110-4bbb-a33f-e7215fed89f2/cc2aa323-62e0-40e1-b4f7-4d9d0dd026a2.rna_seq.augmented_star_gene_counts.tsv	bbd681c5de4cbe5ec31fb576a69048e6	4255773	validated
febf694d-811a-4fcd-b498-e9451fdc0d4e	febf694d-811a-4fcd-b498-e9451fdc0d4e/eef3ce5b-8f0a-4ffa-936f-acd6ec32f7bd.rna_seq.augmented_star_gene_counts.tsv	6cf1ea7f1b41069b8ea636894563ecdf	4244397	validated
d529459b-b78c-4651-902f-8daa6f1415e1	d529459b-b78c-4651-902f-8daa6f1415e1/6afd36a6-9b94-4e59-9afe-e3dd1edbaf4e.rna_seq.augmented_star_gene_counts.tsv	de83edd38338725fc62a47673b962db1	4243498	validated
1a3ff7f1-f063-4651-89ac-4745c8de0f63	1a3ff7f1-f063-4651-89ac-4745c8de0f63/cefdd341-317f-47dd-811e-21f744fd66e9.rna_seq.augmented_star_gene_counts.tsv	a5aa2b195a263273dc1ab55dec005de0	4258624	validated
bf2fc9fb-db30-4be8-8934-d395b2019aae	bf2fc9fb-db30-4be8-8934-d395b2019aae/5bce1bf9-5ad0-4a9d-b551-f71c8432e4b4.rna_seq.augmented_star_gene_counts.tsv	3687eff574a0794ebc6e0bdb78c49542	4235908	validated
fd56a2b7-128e-4e51-a18f-df0b89ff0b0f	fd56a2b7-128e-4e51-a18f-df0b89ff0b0f/141614d9-0221-45dc-9935-d97977d49a50.rna_seq.augmented_star_gene_counts.tsv	dc6f35451c83f56a4a192649c8c70e08	4251178	validated
a5a1f9e9-1193-47f9-af1c-0afb0ed2e408	a5a1f9e9-1193-47f9-af1c-0afb0ed2e408/d0565292-d876-47c0-99ad-5f043463e94a.rna_seq.augmented_star_gene_counts.tsv	c12515791f5133c15db54f5e61c7590e	4226058	validated
5d8b78aa-c6c0-42cd-8ba2-3f39b2a12bbd	5d8b78aa-c6c0-42cd-8ba2-3f39b2a12bbd/de906204-59b0-4249-968f-7cd4d47481aa.rna_seq.augmented_star_gene_counts.tsv	c157e796549a92ff0eeb206474b0a5f0	4242265	validated
